mjd,r,i,g,z,V,u
55651.5,20.177636086387505,20.088354555496156,20.665612470452743,20.00792189850364,20.192968236236048,21.440856110656625
55651.628128128126,20.120116735367354,20.041761923324472,20.57137788400802,19.97264196223381,20.12586581551937,21.316808953664008
55651.75625625626,20.065440257219173,19.997044386412483,20.484592815348748,19.938439811693147,20.062611112238315,21.205391328933672
55651.884384384386,20.013339471742974,19.954057714597766,20.40416429980126,19.90525247257791,20.00278706584817,21.104264545787398
55652.01251251251,19.96358344597944,19.912673884925805,20.329224180754096,19.873022438658648,19.9460413049724,21.01168579709438
55652.14064064064,19.915971220467984,19.87277874093341,20.259071393351892,19.84169705653535,19.892073424594265,20.926321477135183
55652.26876876877,19.87032683672226,19.834270059809246,20.193131658596073,19.811227994552784,19.840625245037796,20.84712832518187
55652.3968968969,19.826495354936185,19.797055945017345,20.13092864254822,19.78157078243827,19.791473251568327,20.773274816560733
55652.525025025025,19.784339634319956,19.761053480754374,20.07206287687638,19.752684410648882,19.744422653845355,20.704087479015286
55652.65315315315,19.74373770725425,19.726187598671267,20.016196061857897,19.724530980372254,19.69930266581326,20.639013213358616
55652.781281281284,19.70458062049898,19.69239011789903,19.963039182422037,19.697075396681583,19.655962716986938,20.57759221368792
55652.90940940941,19.666770647192905,19.659598927528812,19.9123433770626,19.670285098623207,19.614269382949907,20.51943809885882
55653.03753753754,19.63021979572546,19.62775728688408,19.863892828122843,19.644129821005805,19.574103877176572,20.4642230668466
55653.16566566566,19.59484855826058,19.596813223818366,19.8174991592093,19.618581383553234,19.535359985368505,20.411666621314044
55653.2937937938,19.5605848541046,19.566719014985377,19.772996971871052,19.593613503712795,19.497942351776715,20.361526886077243
55653.42192192192,19.52736313262169,19.537430735044378,19.73024025438424,19.569201630012977,19.461765047912884,20.313593825779193
55653.55005005005,19.495123607630745,19.508907864109347,19.689099465823706,19.545322793319293,19.426750369583598,20.267683891783523
55653.678178178176,19.463811600816705,19.48111294463999,19.649459148553756,19.521955473730173,19.392827819889256,20.22363574820077
55653.80630630631,19.433376976041547,19.454011280482025,19.611215958230108,19.499079481179685,19.359933244720047,20.181306826667527
55653.934434434435,19.403773649869663,19.42757067200236,19.574277026665733,19.476675848092725,19.328008094115425,20.140570524228778
55654.06256256256,19.374959166285638,19.401761182223773,19.53855859224276,19.454726732646105,19.296998788096552,20.101313905410038
55654.19069069069,19.346894325789837,19.37655492973353,19.503984847091882,19.43321533142448,19.266856169755414,20.06343580342406
55654.31881881882,19.319542860705162,19.351925904741144,19.470486961096956,19.41212580037439,19.237535031550006,20.026845240067562
55654.44694694695,19.292871149991463,19.327849805281417,19.4380022511853,19.39144318315513,19.208993703387385,19.9914601022465
55654.575075075074,19.2668479678865,19.304303890928843,19.406473470644688,19.371153346035644,19.181193693022887,19.957206026625414
